sector,alojamiento_formal,gastronomia_bar,vivienda_turistica,avaluo_ph_m2,total_puntos,vt_2023,crecimiento_pct,pct_vivienda_turistica,pct_alojamiento_formal,pct_gastronomia_bar,intensidad_vt,pct_fuera_zit,cluster_id,nodo,perfil
SAN ISIDRO RURAL II,0,0,5,3398296.24,5,2.0,100.0,100.0,0.0,0.0,1.791759469228055,100.0,3,6-3,"Residencial ordinario, sin presión turística"
SAN JOAQUIN,0,1,3,2990876.19,4,5.0,-33.3,75.0,0.0,25.0,1.3862943611198906,100.0,5,2-1,"Residencial ordinario, sin presión turística"
SAN JOSE DE FONTIBON,10,0,14,2738702.59,24,11.0,25.0,58.3,41.7,0.0,2.70805020110221,100.0,1,8-6,"Residencial ordinario, sin presión turística"
SAN JOSE DEL PRADO,0,0,8,3088954.8425000003,8,10.0,-18.2,100.0,0.0,0.0,2.1972245773362196,100.0,3,4-3,"Residencial ordinario, sin presión turística"
SAN LUIS,3,0,38,5220023.812903225,41,30.0,25.8,92.7,7.3,0.0,3.6635616461296463,100.0,0,3-7,Foco turístico emergente
SAN MARTIN,0,1,179,3081556.682301587,180,164.0,9.1,99.4,0.0,0.6,5.19295685089021,0.0,0,0-5,Foco turístico emergente
SAN MIGUEL,0,0,7,2964403.8975,7,4.0,60.0,100.0,0.0,0.0,2.0794415416798357,100.0,3,4-2,"Residencial ordinario, sin presión turística"
SAN PABLO BOSA,3,1,0,1540912.59,4,0.0,0.0,0.0,75.0,25.0,0.0,,1,8-8,"Residencial ordinario, sin presión turística"
SAN PABLO JERICO,0,0,6,2696948.8,6,1.0,250.0,100.0,0.0,0.0,1.9459101490553132,100.0,3,8-1,"Residencial ordinario, sin presión turística"
SAN PATRICIO,11,1,81,5187377.827105263,93,76.0,6.5,87.1,11.8,1.1,4.406719247264253,98.76543209876543,0,2-7,Foco turístico emergente
SAN PEDRO DE LOS ROBLES,2,0,1,1806209.15,3,0.0,100.0,33.3,66.7,0.0,0.6931471805599453,100.0,1,8-8,"Residencial ordinario, sin presión turística"
SAN VICTORINO,1,0,18,2191866.563333333,19,2.0,533.3,94.7,5.3,0.0,2.9444389791664403,100.0,3,8-3,"Residencial ordinario, sin presión turística"
SANTA ANA OCCIDENTAL,4,5,7,4609593.015714286,16,3.0,100.0,43.8,25.0,31.2,2.0794415416798357,100.0,5,0-2,"Residencial ordinario, sin presión turística"
SANTA BARBARA,0,0,55,1783585.12875,55,21.0,154.5,100.0,0.0,0.0,4.02535169073515,1.8181818181818188,0,0-4,Foco turístico emergente
SANTA BARBARA CENTRAL,5,2,82,4606192.174318182,89,51.0,59.6,92.1,5.6,2.2,4.418840607796598,93.90243902439023,0,1-6,Foco turístico emergente
SANTA BARBARA OCCIDENTAL,4,1,121,5458638.175,126,57.0,110.3,96.0,3.2,0.8,4.804021044733257,21.487603305785118,0,1-6,Foco turístico emergente
SANTA BARBARA ORIENTAL,7,4,156,6579014.095444445,167,41.0,273.8,93.4,4.2,2.4,5.056245805348308,0.0,0,2-8,Foco turístico emergente
SANTA BIBIANA,8,3,85,4445615.725479452,96,56.0,50.9,88.5,8.3,3.1,4.454347296253507,24.705882352941178,0,1-5,Foco turístico emergente
SANTA CECILIA,12,0,34,3346344.73,46,19.0,75.0,73.9,26.1,0.0,3.5553480614894135,100.0,0,2-4,Foco turístico emergente
SANTA FE,13,0,14,2032409.4323076925,27,7.0,87.5,51.9,48.1,0.0,2.70805020110221,100.0,1,8-6,"Residencial ordinario, sin presión turística"
SANTA HELENITA,0,0,14,3298777.4425,14,4.0,200.0,100.0,0.0,0.0,2.70805020110221,100.0,3,7-3,"Residencial ordinario, sin presión turística"
SANTA ISABEL SUR,0,0,4,2854161.6233333335,4,6.0,-28.6,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-2,"Residencial ordinario, sin presión turística"
SANTA LUCIA,4,0,0,3543451.495,4,0.0,0.0,0.0,100.0,0.0,0.0,,1,7-8,"Residencial ordinario, sin presión turística"
SANTA MARIA,0,0,4,3398296.24,4,4.0,0.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-3,"Residencial ordinario, sin presión turística"
SANTA MATILDE,1,0,2,3398296.24,3,1.0,50.0,66.7,33.3,0.0,1.0986122886681098,100.0,1,7-6,"Residencial ordinario, sin presión turística"
SANTA ROSA,1,2,8,3634285.918,11,9.0,-10.0,72.7,9.1,18.2,2.1972245773362196,100.0,5,2-2,"Residencial ordinario, sin presión turística"
SANTA SOFIA,0,0,4,3398296.24,4,8.0,-44.4,100.0,0.0,0.0,1.6094379124341003,0.0,3,5-3,"Residencial ordinario, sin presión turística"
SANTA TERESA,0,0,9,3383407.92,9,6.0,42.9,100.0,0.0,0.0,2.302585092994046,100.0,3,4-4,"Residencial ordinario, sin presión turística"
SANTA TERESITA,3,0,6,4479904.5375,9,7.0,-12.5,66.7,33.3,0.0,1.9459101490553132,100.0,0,5-7,Foco turístico emergente
SIETE DE AGOSTO,3,0,2,3971086.34,5,0.0,200.0,40.0,60.0,0.0,1.0986122886681098,100.0,1,6-8,"Residencial ordinario, sin presión turística"
SIMON BOLIVAR,0,0,4,2890611.77,4,2.0,66.7,100.0,0.0,0.0,1.6094379124341003,100.0,3,6-1,"Residencial ordinario, sin presión turística"
SOCIEGO,0,0,6,3099539.27,6,2.0,133.3,100.0,0.0,0.0,1.9459101490553132,100.0,3,6-3,"Residencial ordinario, sin presión turística"
SUBA URBANO,0,0,3,2222912.42,3,2.0,33.3,100.0,0.0,0.0,1.3862943611198906,100.0,3,5-1,"Residencial ordinario, sin presión turística"
SUCRE,3,0,19,5343871.761578947,22,14.0,33.3,86.4,13.6,0.0,2.995732273553991,15.789473684210531,0,3-7,Foco turístico emergente
TERMINAL DE TRANSPORTES,1,0,3,3151320.346666666,4,2.0,33.3,75.0,25.0,0.0,1.3862943611198906,0.0,1,6-5,"Residencial ordinario, sin presión turística"
TEUSAQUILLO,9,0,14,4800463.566,23,10.0,36.4,60.9,39.1,0.0,2.70805020110221,57.14285714285714,0,5-7,Foco turístico emergente
TIBABITA,0,0,3,3398296.24,3,3.0,0.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,5-3,"Residencial ordinario, sin presión turística"
TIBABUYES,1,0,3,2396099.82,4,5.0,-33.3,75.0,25.0,0.0,1.3862943611198906,100.0,1,6-5,"Residencial ordinario, sin presión turística"
TINTALA,0,1,7,2503730.7816666667,8,13.0,-42.9,87.5,0.0,12.5,2.0794415416798357,100.0,5,4-0,"Residencial ordinario, sin presión turística"
TUNA ALTA,1,0,4,3398296.24,5,1.0,150.0,80.0,20.0,0.0,1.6094379124341003,100.0,1,7-5,"Residencial ordinario, sin presión turística"
TUNA BAJA,0,0,4,2864513.19,4,1.0,150.0,100.0,0.0,0.0,1.6094379124341003,100.0,3,7-1,"Residencial ordinario, sin presión turística"
USAQUEN,7,1,10,5339032.3075,18,12.0,-15.4,55.6,38.9,5.6,2.3978952727983707,70.0,0,5-7,Foco turístico emergente
VERACRUZ,20,0,362,4089304.4448657716,382,179.0,101.7,94.8,5.2,0.0,5.8944028342648505,0.0,0,0-6,Foco turístico emergente
VERBENAL SAN ANTONIO,0,0,3,3398296.24,3,0.0,300.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,7-2,"Residencial ordinario, sin presión turística"
VERSALLES FONTIBON,1,0,8,2006519.085,9,2.0,200.0,88.9,11.1,0.0,2.1972245773362196,100.0,1,8-0,"Residencial ordinario, sin presión turística"
VICTORIA NORTE,0,0,8,3392188.561666667,8,8.0,0.0,100.0,0.0,0.0,2.1972245773362196,100.0,3,4-4,"Residencial ordinario, sin presión turística"
VILLA ALSACIA,0,3,11,4077996.88,14,9.0,20.0,78.6,0.0,21.4,2.4849066497880004,100.0,5,1-2,"Residencial ordinario, sin presión turística"
VILLA AMALIA,0,0,3,1877623.25,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,7-0,"Residencial ordinario, sin presión turística"
VILLA DEL PRADO,0,0,5,3398296.24,5,4.0,20.0,100.0,0.0,0.0,1.791759469228055,100.0,3,5-4,"Residencial ordinario, sin presión turística"
VILLA DEL RIO,0,0,3,3535905.04,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,6-2,"Residencial ordinario, sin presión turística"
VILLA LUZ,1,1,12,2555442.60125,14,9.0,30.0,85.7,7.1,7.1,2.5649493574615367,100.0,0,3-3,Foco turístico emergente
VILLA MARIA I,0,0,3,2515592.07,3,2.0,33.3,100.0,0.0,0.0,1.3862943611198906,100.0,3,5-1,"Residencial ordinario, sin presión turística"
VILLAS DE GRANADA I,0,1,4,3398296.24,5,2.0,66.7,80.0,0.0,20.0,1.6094379124341003,100.0,5,2-2,"Residencial ordinario, sin presión turística"
VILLEMAR,6,0,10,3022984.3272727276,16,7.0,37.5,62.5,37.5,0.0,2.3978952727983707,100.0,1,8-6,"Residencial ordinario, sin presión turística"
VISION DE ORIENTE,10,0,0,3398296.24,10,0.0,0.0,0.0,100.0,0.0,0.0,,1,7-8,"Residencial ordinario, sin presión turística"
